"Relative Intensity (%) Run #2","Angle (rad) Run #2","Relative Intensity (%) Run #3","Angle (rad) Run #3","Relative Intensity (%) Run #4","Angle (rad) Run #4","Relative Intensity (%) Run #5","Angle (rad) Run #5","Relative Intensity (%) Run #6","Angle (rad) Run #6","Relative Intensity (%) Run #7","Angle (rad) Run #7"
7.09,3.971,9.46,4.274,8.65,3.782,14.63,5.248,14.72,5.195,16.33,5.603
7.16,3.996,9.51,4.282,8.59,3.789,15.02,5.316,14.96,5.254,16.61,5.647
7.30,4.010,9.50,4.298,8.64,3.803,15.43,5.334,15.43,5.297,17.15,5.675
7.37,4.020,9.56,4.318,8.69,3.828,15.59,5.341,15.65,5.319,17.47,5.697
7.39,4.034,9.63,4.337,8.74,3.858,15.91,5.358,15.97,5.334,17.92,5.722
7.39,4.046,9.72,4.364,8.81,3.877,16.09,5.393,16.11,5.347,18.18,5.741
7.44,4.061,9.74,4.381,8.78,3.885,16.45,5.416,16.35,5.356,18.60,5.751
7.49,4.083,9.80,4.397,8.87,3.897,16.66,5.441,16.51,5.364,18.77,5.763
7.52,4.098,9.93,4.419,8.92,3.916,17.04,5.460,16.64,5.372,19.34,5.790
7.58,4.108,10.03,4.507,8.98,3.936,17.20,5.476,16.73,5.378,19.55,5.817
7.59,4.114,10.30,4.563,9.04,3.960,17.47,5.488,17.01,5.396,19.76,5.834
7.66,4.119,10.40,4.577,9.07,4.001,17.61,5.498,17.19,5.416,20.16,5.847
7.67,4.126,10.48,4.584,9.21,4.053,17.76,5.520,17.41,5.435,20.33,5.870
7.68,4.137,10.51,4.590,9.31,4.090,18.06,5.542,17.60,5.452,20.74,5.903
7.68,4.159,10.59,4.598,9.39,4.114,18.27,5.556,17.68,5.460,20.94,5.917
7.72,4.177,10.61,4.607,9.44,4.133,18.67,5.584,17.89,5.470,21.39,5.942
7.80,4.202,10.73,4.629,9.51,4.145,18.91,5.611,17.99,5.482,21.69,5.963
7.83,4.227,10.80,4.654,9.55,4.153,19.40,5.633,18.13,5.487,22.60,6.005
7.88,4.260,10.86,4.694,9.59,4.166,19.61,5.660,18.21,5.496,23.05,6.040
8.06,4.279,11.12,4.747,9.62,4.172,20.12,5.693,18.42,5.507,23.94,6.065
8.07,4.290,11.25,4.783,9.65,4.185,20.36,5.713,18.50,5.520,24.37,6.092
8.15,4.307,11.52,4.799,9.70,4.208,20.59,5.729,18.63,5.531,24.75,6.117
8.10,4.312,11.58,4.816,9.75,4.225,20.98,5.741,18.91,5.545,25.48,6.137
8.19,4.318,11.66,4.825,9.72,4.235,21.16,5.759,19.05,5.564,25.94,6.169
8.28,4.337,11.77,4.847,9.78,4.241,21.48,5.770,19.51,5.586,27.02,6.219
