Relative Intensity (%) Run #2,Angle (rad) Run #2,Relative Intensity (%) Run #3,Angle (rad) Run #3,Relative Intensity (%) Run #5,Angle (rad) Run #5,Relative Intensity (%) Run #7,Angle (rad) Run #7,Relative Intensity (%) Run #9,Angle (rad) Run #9
2.47,10.314,11.9,9.4,35,7.94,16.31,5.889,23.83,6.63
2.41,10.342,11.53,9.461,34.78,7.958,16.73,5.9,24.15,6.655
2.35,10.386,11.07,9.519,34.38,7.97,16.93,5.914,25.09,6.695
2.05,10.451,10.01,9.587,34.15,8.002,17.42,5.939,25.37,6.715
1.94,10.512,9.55,9.646,33.49,8.025,17.69,5.974,25.64,6.728
1.76,10.545,8.69,9.686,33.22,8.049,18.21,5.994,26.04,6.74
1.73,10.578,8.39,9.709,32.38,8.083,18.38,6.005,26.23,6.767
1.71,10.595,7.91,9.739,31.95,8.116,18.54,6.01,27.14,6.805
1.68,10.615,7.62,9.774,31.66,8.143,18.81,6.013,27.75,6.852
1.65,10.628,6.97,9.832,31,8.187,18.95,6.019,28.95,6.918
1.64,10.644,6.72,9.872,30.7,8.217,19.14,6.026,29.34,6.952
1.62,10.67,6.18,9.918,29.91,8.248,19.24,6.037,29.67,6.976
1.66,10.691,5.98,9.954,29.59,8.277,19.44,6.049,30.11,6.992
1.68,10.713,5.54,9.992,28.62,8.33,19.57,6.059,30.29,7.006
1.66,10.725,5.35,10.033,27.93,8.374,19.95,6.073,30.61,7.012
1.62,10.744,4.97,10.069,27.28,8.418,20.14,6.077,30.76,7.018
1.58,10.768,4.83,10.091,26.19,8.457,20.2,6.081,30.97,7.025
1.58,10.807,4.71,10.108,25.68,8.492,20.39,6.085,31.08,7.034
1.56,10.837,4.43,10.129,24.65,8.52,20.47,6.092,31.37,7.051
1.53,10.868,4.31,10.146,24.24,8.556,20.7,6.101,31.58,7.072
1.51,10.906,4.15,10.171,23.5,8.588,20.94,6.121,31.89,7.097
1.51,10.95,4.01,10.21,22.95,8.635,21.64,6.18,32.28,7.114
1.45,10.985,3.78,10.237,21.98,8.665,22.16,6.247,32.44,7.124
1.49,11.027,3.69,10.257,21.45,8.699,23.25,6.296,32.76,7.139
1.43,11.077,3.56,10.279,20.88,8.735,23.74,6.332,32.86,7.16
1.43,11.112,3.39,10.314,20.34,8.757,24.14,6.348,33.26,7.182
1.46,11.154,3.21,10.333,20.18,8.779,24.89,6.373,33.45,7.224
1.47,11.211,3.12,10.35,19.87,8.792,25.36,6.412,33.66,7.243
1.48,11.256,3.01,10.367,19.77,8.812,26.5,6.472,34.14,7.263
1.47,11.297,2.92,10.405,19.3,8.831,27.21,6.547,34.36,7.292
1.49,11.327,2.72,10.438,19,8.859,28.5,6.591,34.96,7.31
1.48,11.36,2.65,10.48,18.35,8.892,29.12,6.621,35.24,7.331
